2	75																		
3	118	-1																	
4	-1	71	-1																
5	-1	-1	111	-1															
6	140	-1	-1	151	-1														
7	-1	-1	-1	-1	70	75													
8	-1	-1	-1	-1	-1	-1	120												
9	-1	-1	-1	-1	-1	-1	-1	146											
10	-1	-1	-1	-1	-1	-1	-1	-1	-1										
11	-1	-1	-1	-1	-1	-1	-1	138	97	-1									
12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1								
13	-1	-1	-1	-1	-1	-1	-1	-1	-1	211	101	90							
14	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85						
15	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	98					
16	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1				
17	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	142	86	-1			
18	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	92		
19	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87	
20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	87
